t psi theta phi
3.991996 -4.267823 1.156881 55.804627
4.002001 -4.281797 1.156578 55.941910
4.012006 -4.295772 1.156282 56.079192
4.022011 -4.309749 1.155992 56.216474
4.032016 -4.323728 1.155709 56.353757
4.042021 -4.337709 1.155433 56.491039
4.052026 -4.351691 1.155163 56.628322
4.062031 -4.365675 1.154900 56.765604
4.072036 -4.379660 1.154644 56.902887
4.082041 -4.393647 1.154394 57.040169
4.092046 -4.407636 1.154152 57.177452
4.102051 -4.421626 1.153916 57.314735
4.112056 -4.435617 1.153687 57.452017
4.122061 -4.449609 1.153464 57.589300
4.132066 -4.463603 1.153249 57.726583
4.142071 -4.477599 1.153040 57.863866
4.152076 -4.491595 1.152838 58.001149
4.162081 -4.505593 1.152643 58.138431
4.172086 -4.519592 1.152455 58.275714
4.182091 -4.533592 1.152274 58.412997
4.192096 -4.547593 1.152099 58.550280
4.202101 -4.561595 1.151932 58.687563
4.212106 -4.575598 1.151771 58.824846
4.222111 -4.589602 1.151617 58.962129
4.232116 -4.603606 1.151470 59.099412
4.242121 -4.617612 1.151331 59.236696
4.252126 -4.631619 1.151198 59.373979
4.262131 -4.645626 1.151072 59.511262
4.272136 -4.659634 1.150952 59.648545
4.282141 -4.673643 1.150840 59.785828
4.292146 -4.687652 1.150735 59.923112
4.302151 -4.701662 1.150637 60.060395
4.312156 -4.715673 1.150545 60.197678
4.322161 -4.729684 1.150461 60.334962
4.332166 -4.743695 1.150384 60.472245
4.342171 -4.757707 1.150313 60.609528
4.352176 -4.771720 1.150250 60.746812
4.362181 -4.785733 1.150194 60.884095
4.372186 -4.799746 1.150144 61.021379
4.382191 -4.813759 1.150102 61.158662
4.392196 -4.827773 1.150066 61.295945
4.402201 -4.841786 1.150038 61.433229
4.412206 -4.855800 1.150016 61.570512
4.422211 -4.869814 1.150002 61.707796
4.432216 -4.883829 1.149994 61.845079
4.442221 -4.897843 1.149994 61.982363
4.452226 -4.911857 1.150001 62.119646
4.462231 -4.925871 1.150014 62.256930
4.472236 -4.939885 1.150035 62.394213
4.482241 -4.953899 1.150062 62.531497
4.492246 -4.967912 1.150097 62.668780
4.502251 -4.981926 1.150138 62.806064
4.512256 -4.995939 1.150187 62.943347
4.522261 -5.009952 1.150242 63.080630
4.532266 -5.023964 1.150305 63.217914
4.542271 -5.037976 1.150374 63.355197
4.552276 -5.051988 1.150451 63.492481
4.562281 -5.065999 1.150534 63.629764
4.572286 -5.080010 1.150624 63.767047
4.582291 -5.094020 1.150722 63.904331
4.592296 -5.108029 1.150826 64.041614
4.602301 -5.122038 1.150937 64.178897
4.612306 -5.136046 1.151056 64.316180
4.622311 -5.150054 1.151181 64.453464
4.632316 -5.164060 1.151313 64.590747
4.642321 -5.178066 1.151452 64.728030
4.652326 -5.192071 1.151598 64.865313
4.662331 -5.206075 1.151751 65.002596
4.672336 -5.220078 1.151910 65.139879
4.682341 -5.234080 1.152077 65.277162
4.692346 -5.248082 1.152251 65.414445
4.702351 -5.262082 1.152431 65.551728
4.712356 -5.276081 1.152618 65.689011
4.722361 -5.290078 1.152813 65.826294
4.732366 -5.304075 1.153013 65.963577
4.742371 -5.318070 1.153221 66.100859
4.752376 -5.332065 1.153436 66.238142
4.762381 -5.346057 1.153657 66.375425
4.772386 -5.360049 1.153886 66.512708
4.782391 -5.374039 1.154121 66.649990
4.792396 -5.388028 1.154363 66.787273
4.802401 -5.402015 1.154611 66.924555
4.812406 -5.416000 1.154866 67.061838
4.822411 -5.429984 1.155129 67.199121
4.832416 -5.443967 1.155397 67.336403
4.842421 -5.457948 1.155673 67.473685
4.852426 -5.471927 1.155955 67.610968
4.862431 -5.485904 1.156244 67.748250
4.872436 -5.499880 1.156539 67.885533
4.882441 -5.513853 1.156842 68.022815
4.892446 -5.527825 1.157151 68.160098
4.902451 -5.541795 1.157466 68.297380
4.912456 -5.555763 1.157788 68.434662
4.922461 -5.569730 1.158117 68.571944
4.932466 -5.583694 1.158452 68.709227
4.942471 -5.597656 1.158794 68.846509
4.952476 -5.611616 1.159142 68.983791
4.962481 -5.625573 1.159497 69.121074
4.972486 -5.639529 1.159858 69.258356
4.982491 -5.653482 1.160226 69.395638
4.992496 -5.667433 1.160600 69.532921
5.002501 -5.681382 1.160980 69.670203
5.012506 -5.695329 1.161368 69.807486
5.022511 -5.709273 1.161761 69.944768
5.032516 -5.723214 1.162161 70.082050
5.042521 -5.737153 1.162567 70.219333
5.052526 -5.751090 1.162979 70.356615
5.062531 -5.765024 1.163398 70.493898
5.072536 -5.778955 1.163823 70.631181
5.082541 -5.792884 1.164255 70.768463
5.092546 -5.806810 1.164692 70.905746
5.102551 -5.820734 1.165136 71.043029
5.112556 -5.834654 1.165586 71.180312
5.122561 -5.848572 1.166043 71.317595
5.132566 -5.862487 1.166505 71.454878
5.142571 -5.876399 1.166974 71.592162
5.152576 -5.890308 1.167448 71.729445
5.162581 -5.904214 1.167929 71.866729
5.172586 -5.918117 1.168416 72.004012
5.182591 -5.932017 1.168909 72.141296
5.192596 -5.945914 1.169408 72.278580
5.202601 -5.959808 1.169912 72.415864
5.212606 -5.973699 1.170423 72.553149
5.222611 -5.987586 1.170940 72.690433
5.232616 -6.001470 1.171463 72.827718
5.242621 -6.015351 1.171991 72.965003
5.252626 -6.029229 1.172526 73.102288
5.262631 -6.043103 1.173066 73.239573
5.272636 -6.056973 1.173612 73.376859
5.282641 -6.070841 1.174164 73.514145
5.292646 -6.084704 1.174722 73.651431
5.302651 -6.098564 1.175285 73.788717
5.312656 -6.112421 1.175854 73.926004
5.322661 -6.126274 1.176429 74.063291
5.332666 -6.140123 1.177009 74.200579
5.342671 -6.153968 1.177595 74.337866
5.352676 -6.167810 1.178187 74.475154
5.362681 -6.181648 1.178784 74.612443
5.372686 -6.195482 1.179386 74.749732
5.382691 -6.209312 1.179995 74.887021
5.392696 -6.223138 1.180608 75.024311
5.402701 -6.236960 1.181227 75.161601
5.412706 -6.250778 1.181852 75.298892
5.422711 -6.264593 1.182482 75.436183
5.432716 -6.278403 1.183117 75.573474
5.442721 -6.292208 1.183758 75.710766
5.452726 -6.306010 1.184404 75.848059
5.462731 -6.319807 1.185055 75.985352
5.472736 -6.333600 1.185711 76.122646
5.482741 -6.347389 1.186373 76.259940
5.492746 -6.361174 1.187040 76.397235
5.502751 -6.374954 1.187712 76.534531
5.512756 -6.388729 1.188389 76.671827
5.522761 -6.402500 1.189071 76.809124
5.532766 -6.416267 1.189759 76.946422
5.542771 -6.430028 1.190451 77.083720
5.552776 -6.443786 1.191148 77.221019
5.562781 -6.457538 1.191850 77.358319
5.572786 -6.471286 1.192558 77.495620
5.582791 -6.485029 1.193270 77.632922
5.592796 -6.498767 1.193987 77.770224
5.602801 -6.512501 1.194709 77.907527
5.612806 -6.526229 1.195435 78.044832
5.622811 -6.539953 1.196167 78.182137
5.632816 -6.553672 1.196903 78.319443
5.642821 -6.567385 1.197644 78.456750
5.652826 -6.581094 1.198389 78.594058
5.662831 -6.594797 1.199140 78.731367
5.672836 -6.608495 1.199894 78.868678
5.682841 -6.622188 1.200654 79.005989
5.692846 -6.635876 1.201418 79.143301
5.702851 -6.649558 1.202186 79.280615
5.712856 -6.663235 1.202959 79.417930
5.722861 -6.676906 1.203737 79.555246
5.732866 -6.690573 1.204518 79.692563
5.742871 -6.704233 1.205305 79.829882
5.752876 -6.717888 1.206095 79.967202
5.762881 -6.731538 1.206890 80.104523
5.772886 -6.745182 1.207690 80.241846
5.782891 -6.758820 1.208493 80.379170
5.792896 -6.772452 1.209301 80.516496
5.802901 -6.786079 1.210113 80.653823
5.812906 -6.799699 1.210929 80.791152
5.822911 -6.813314 1.211749 80.928482
5.832916 -6.826923 1.212573 81.065814
5.842921 -6.840526 1.213402 81.203148
5.852926 -6.854123 1.214234 81.340484
5.862931 -6.867714 1.215070 81.477821
5.872936 -6.881298 1.215911 81.615160
5.882941 -6.894877 1.216755 81.752500
5.892946 -6.908449 1.217603 81.889843
5.902951 -6.922015 1.218455 82.027188
5.912956 -6.935574 1.219311 82.164534
5.922961 -6.949127 1.220171 82.301883
5.932966 -6.962674 1.221034 82.439233
5.942971 -6.976214 1.221901 82.576586
5.952976 -6.989747 1.222772 82.713941
5.962981 -7.003274 1.223647 82.851298
5.972986 -7.016794 1.224525 82.988658
5.982991 -7.030308 1.225406 83.126019
5.992996 -7.043814 1.226292 83.263383
6.003002 -7.057314 1.227180 83.400750
6.013007 -7.070807 1.228073 83.538119
6.023012 -7.084293 1.228969 83.675490
6.033017 -7.097772 1.229868 83.812864
6.043022 -7.111244 1.230770 83.950240
6.053027 -7.124709 1.231676 84.087620
6.063032 -7.138166 1.232586 84.225002
6.073037 -7.151616 1.233498 84.362386
6.083042 -7.165059 1.234414 84.499774
6.093047 -7.178495 1.235333 84.637164
6.103052 -7.191923 1.236256 84.774558
6.113057 -7.205343 1.237181 84.911954
6.123062 -7.218756 1.238110 85.049354
6.133067 -7.232162 1.239041 85.186757
6.143072 -7.245559 1.239976 85.324163
6.153077 -7.258949 1.240914 85.461572
6.163082 -7.272331 1.241855 85.598984
6.173087 -7.285706 1.242799 85.736400
6.183092 -7.299072 1.243745 85.873819
6.193097 -7.312430 1.244695 86.011242
6.203102 -7.325780 1.245647 86.148669
6.213107 -7.339122 1.246603 86.286099
6.223112 -7.352456 1.247561 86.423533
6.233117 -7.365781 1.248522 86.560971
6.243122 -7.379098 1.249485 86.698412
6.253127 -7.392407 1.250452 86.835858
6.263132 -7.405707 1.251421 86.973307
6.273137 -7.418998 1.252392 87.110761
6.283142 -7.432281 1.253367 87.248219
6.293147 -7.445555 1.254344 87.385681
6.303152 -7.458820 1.255323 87.523148
6.313157 -7.472076 1.256305 87.660619
6.323162 -7.485324 1.257289 87.798094
6.333167 -7.498562 1.258276 87.935574
6.343172 -7.511791 1.259266 88.073059
6.353177 -7.525011 1.260257 88.210548
6.363182 -7.538222 1.261251 88.348043
6.373187 -7.551423 1.262248 88.485542
6.383192 -7.564615 1.263246 88.623046
6.393197 -7.577797 1.264247 88.760556
6.403202 -7.590969 1.265250 88.898070
6.413207 -7.604132 1.266256 89.035590
6.423212 -7.617285 1.267263 89.173115
6.433217 -7.630428 1.268273 89.310646
6.443222 -7.643562 1.269285 89.448183
6.453227 -7.656685 1.270299 89.585725
6.463232 -7.669798 1.271314 89.723272
6.473237 -7.682900 1.272332 89.860826
6.483242 -7.695992 1.273352 89.998386
6.493247 -7.709074 1.274374 90.135951
6.503252 -7.722145 1.275398 90.273523
6.513257 -7.735206 1.276423 90.411102
6.523262 -7.748256 1.277451 90.548686
6.533267 -7.761295 1.278480 90.686278
6.543272 -7.774323 1.279511 90.823875
6.553277 -7.787340 1.280544 90.961480
6.563282 -7.800345 1.281579 91.099091
6.573287 -7.813340 1.282615 91.236710
6.583292 -7.826323 1.283653 91.374335
6.593297 -7.839294 1.284693 91.511968
6.603302 -7.852254 1.285734 91.649608
6.613307 -7.865203 1.286777 91.787255
6.623312 -7.878139 1.287822 91.924911
6.633317 -7.891063 1.288868 92.062573
