t psi theta phi
0.826083 -0.382115 0.952729 20.337034
0.828083 -0.383634 0.952890 20.385801
0.830083 -0.385151 0.953055 20.434570
0.832083 -0.386665 0.953222 20.483340
0.834083 -0.388178 0.953393 20.532112
0.836084 -0.389688 0.953567 20.580886
0.838084 -0.391195 0.953744 20.629661
0.840084 -0.392701 0.953924 20.678438
0.842084 -0.394204 0.954107 20.727217
0.844084 -0.395704 0.954293 20.775998
0.846085 -0.397203 0.954482 20.824780
0.848085 -0.398698 0.954675 20.873565
0.850085 -0.400191 0.954870 20.922351
0.852085 -0.401682 0.955069 20.971140
0.854085 -0.403170 0.955270 21.019930
0.856086 -0.404655 0.955475 21.068722
0.858086 -0.406138 0.955682 21.117516
0.860086 -0.407618 0.955893 21.166313
0.862086 -0.409095 0.956106 21.215111
0.864086 -0.410569 0.956322 21.263912
0.866087 -0.412040 0.956542 21.312714
0.868087 -0.413509 0.956764 21.361519
0.870087 -0.414974 0.956989 21.410326
0.872087 -0.416437 0.957217 21.459136
0.874087 -0.417896 0.957448 21.507947
0.876088 -0.419353 0.957682 21.556761
0.878088 -0.420806 0.957919 21.605578
0.880088 -0.422256 0.958158 21.654396
0.882088 -0.423703 0.958401 21.703218
0.884088 -0.425146 0.958646 21.752041
0.886089 -0.426587 0.958894 21.800867
0.888089 -0.428024 0.959145 21.849696
0.890089 -0.429458 0.959398 21.898527
0.892089 -0.430888 0.959655 21.947361
0.894089 -0.432315 0.959914 21.996197
0.896090 -0.433738 0.960175 22.045036
0.898090 -0.435158 0.960440 22.093877
0.900090 -0.436574 0.960707 22.142722
0.902090 -0.437987 0.960977 22.191569
0.904090 -0.439396 0.961249 22.240419
0.906091 -0.440802 0.961524 22.289271
0.908091 -0.442203 0.961802 22.338127
0.910091 -0.443601 0.962082 22.386985
0.912091 -0.444995 0.962365 22.435846
0.914091 -0.446386 0.962651 22.484710
0.916092 -0.447772 0.962939 22.533577
0.918092 -0.449155 0.963229 22.582447
0.920092 -0.450533 0.963522 22.631320
0.922092 -0.451908 0.963818 22.680196
0.924092 -0.453278 0.964116 22.729076
0.926093 -0.454645 0.964416 22.777958
0.928093 -0.456007 0.964719 22.826843
0.930093 -0.457365 0.965024 22.875732
0.932093 -0.458719 0.965332 22.924624
0.934093 -0.460069 0.965642 22.973519
0.936094 -0.461415 0.965955 23.022417
0.938094 -0.462756 0.966269 23.071319
0.940094 -0.464093 0.966586 23.120224
0.942094 -0.465425 0.966906 23.169132
0.944094 -0.466753 0.967227 23.218044
0.946095 -0.468077 0.967551 23.266959
0.948095 -0.469396 0.967877 23.315877
0.950095 -0.470711 0.968206 23.364799
0.952095 -0.472021 0.968536 23.413725
0.954095 -0.473327 0.968869 23.462654
0.956096 -0.474627 0.969203 23.511586
0.958096 -0.475924 0.969540 23.560523
0.960096 -0.477215 0.969879 23.609462
0.962096 -0.478502 0.970220 23.658406
0.964096 -0.479784 0.970564 23.707353
0.966097 -0.481061 0.970909 23.756304
0.968097 -0.482334 0.971256 23.805259
0.970097 -0.483601 0.971605 23.854217
0.972097 -0.484864 0.971956 23.903179
0.974097 -0.486121 0.972309 23.952145
0.976098 -0.487374 0.972664 24.001115
0.978098 -0.488622 0.973021 24.050089
0.980098 -0.489864 0.973380 24.099067
0.982098 -0.491102 0.973740 24.148049
0.984098 -0.492334 0.974103 24.197034
0.986099 -0.493562 0.974467 24.246024
0.988099 -0.494784 0.974833 24.295018
0.990099 -0.496000 0.975201 24.344016
0.992099 -0.497212 0.975570 24.393017
0.994099 -0.498418 0.975941 24.442024
0.996100 -0.499619 0.976314 24.491034
0.998100 -0.500815 0.976689 24.540048
1.000100 -0.502005 0.977065 24.589067
1.002100 -0.503190 0.977442 24.638089
1.004100 -0.504370 0.977822 24.687116
1.006101 -0.505544 0.978203 24.736148
1.008101 -0.506712 0.978585 24.785183
1.010101 -0.507875 0.978969 24.834223
1.012101 -0.509032 0.979354 24.883268
1.014101 -0.510184 0.979741 24.932317
1.016102 -0.511330 0.980129 24.981370
1.018102 -0.512471 0.980519 25.030427
1.020102 -0.513605 0.980909 25.079490
1.022102 -0.514734 0.981302 25.128556
1.024102 -0.515858 0.981695 25.177627
1.026103 -0.516975 0.982090 25.226703
1.028103 -0.518087 0.982486 25.275783
1.030103 -0.519193 0.982884 25.324868
1.032103 -0.520293 0.983282 25.373958
1.034103 -0.521387 0.983682 25.423052
1.036104 -0.522475 0.984083 25.472151
1.038104 -0.523558 0.984485 25.521255
1.040104 -0.524634 0.984888 25.570363
1.042104 -0.525704 0.985292 25.619476
1.044104 -0.526769 0.985697 25.668594
1.046105 -0.527827 0.986103 25.717716
1.048105 -0.528879 0.986511 25.766844
1.050105 -0.529925 0.986919 25.815976
1.052105 -0.530965 0.987328 25.865113
1.054105 -0.531999 0.987738 25.914256
1.056106 -0.533027 0.988149 25.963403
1.058106 -0.534048 0.988560 26.012555
1.060106 -0.535063 0.988973 26.061711
1.062106 -0.536072 0.989386 26.110873
1.064106 -0.537075 0.989800 26.160040
1.066107 -0.538072 0.990215 26.209212
1.068107 -0.539062 0.990630 26.258389
1.070107 -0.540046 0.991046 26.307571
1.072107 -0.541023 0.991463 26.356758
1.074107 -0.541994 0.991880 26.405951
1.076108 -0.542959 0.992298 26.455148
1.078108 -0.543917 0.992716 26.504351
1.080108 -0.544869 0.993135 26.553558
1.082108 -0.545814 0.993555 26.602771
1.084108 -0.546753 0.993975 26.651989
1.086109 -0.547685 0.994395 26.701213
1.088109 -0.548611 0.994816 26.750441
1.090109 -0.549531 0.995237 26.799675
1.092109 -0.550443 0.995658 26.848914
1.094109 -0.551350 0.996080 26.898159
1.096110 -0.552249 0.996501 26.947409
1.098110 -0.553142 0.996924 26.996664
1.100110 -0.554029 0.997346 27.045924
1.102110 -0.554909 0.997769 27.095190
1.104110 -0.555782 0.998191 27.144461
1.106111 -0.556648 0.998614 27.193738
1.108111 -0.557508 0.999037 27.243020
1.110111 -0.558361 0.999460 27.292308
1.112111 -0.559208 0.999883 27.341600
1.114111 -0.560047 1.000306 27.390899
1.116112 -0.560880 1.000729 27.440203
1.118112 -0.561707 1.001152 27.489512
1.120112 -0.562526 1.001575 27.538827
1.122112 -0.563339 1.001997 27.588147
1.124112 -0.564145 1.002420 27.637473
1.126113 -0.564944 1.002842 27.686804
1.128113 -0.565736 1.003264 27.736141
1.130113 -0.566522 1.003686 27.785484
1.132113 -0.567300 1.004107 27.834832
1.134113 -0.568072 1.004528 27.884186
1.136114 -0.568837 1.004949 27.933545
1.138114 -0.569596 1.005370 27.982910
1.140114 -0.570347 1.005790 28.032280
1.142114 -0.571092 1.006209 28.081656
1.144114 -0.571829 1.006628 28.131038
1.146115 -0.572560 1.007047 28.180425
1.148115 -0.573284 1.007465 28.229818
1.150115 -0.574001 1.007882 28.279217
1.152115 -0.574711 1.008299 28.328621
1.154115 -0.575415 1.008715 28.378031
1.156116 -0.576111 1.009131 28.427447
1.158116 -0.576801 1.009545 28.476868
1.160116 -0.577483 1.009959 28.526295
1.162116 -0.578159 1.010373 28.575728
1.164116 -0.578828 1.010785 28.625166
1.166117 -0.579490 1.011197 28.674610
1.168117 -0.580145 1.011608 28.724060
1.170117 -0.580794 1.012018 28.773515
1.172117 -0.581435 1.012426 28.822976
1.174117 -0.582070 1.012834 28.872443
1.176118 -0.582697 1.013241 28.921916
1.178118 -0.583318 1.013647 28.971394
1.180118 -0.583932 1.014052 29.020878
1.182118 -0.584539 1.014456 29.070367
1.184118 -0.585139 1.014859 29.119862
1.186119 -0.585733 1.015260 29.169363
1.188119 -0.586319 1.015661 29.218870
1.190119 -0.586899 1.016060 29.268382
1.192119 -0.587472 1.016458 29.317900
1.194119 -0.588038 1.016855 29.367424
1.196120 -0.588597 1.017250 29.416953
1.198120 -0.589149 1.017644 29.466488
1.200120 -0.589695 1.018036 29.516029
1.202120 -0.590234 1.018428 29.565575
1.204120 -0.590766 1.018817 29.615127
1.206121 -0.591291 1.019206 29.664685
1.208121 -0.591810 1.019593 29.714248
1.210121 -0.592322 1.019978 29.763817
1.212121 -0.592827 1.020361 29.813391
1.214121 -0.593326 1.020744 29.862971
1.216122 -0.593817 1.021124 29.912557
1.218122 -0.594303 1.021503 29.962148
1.220122 -0.594781 1.021880 30.011745
1.222122 -0.595253 1.022255 30.061348
1.224122 -0.595718 1.022629 30.110956
1.226123 -0.596177 1.023001 30.160569
1.228123 -0.596629 1.023371 30.210188
1.230123 -0.597074 1.023739 30.259813
1.232123 -0.597514 1.024106 30.309443
1.234123 -0.597946 1.024470 30.359078
1.236124 -0.598372 1.024833 30.408719
1.238124 -0.598792 1.025193 30.458365
1.240124 -0.599205 1.025552 30.508017
1.242124 -0.599611 1.025909 30.557674
1.244124 -0.600012 1.026263 30.607337
1.246125 -0.600406 1.026616 30.657005
1.248125 -0.600793 1.026966 30.706678
1.250125 -0.601175 1.027314 30.756357
1.252125 -0.601550 1.027660 30.806041
1.254125 -0.601919 1.028004 30.855730
1.256126 -0.602281 1.028346 30.905425
1.258126 -0.602638 1.028685 30.955124
1.260126 -0.602988 1.029022 31.004829
1.262126 -0.603332 1.029357 31.054539
1.264126 -0.603670 1.029689 31.104255
1.266127 -0.604002 1.030020 31.153975
1.268127 -0.604328 1.030347 31.203701
1.270127 -0.604648 1.030673 31.253431
1.272127 -0.604962 1.030995 31.303167
1.274127 -0.605270 1.031316 31.352908
1.276128 -0.605572 1.031633 31.402654
1.278128 -0.605868 1.031949 31.452404
1.280128 -0.606159 1.032262 31.502160
1.282128 -0.606443 1.032572 31.551920
1.284128 -0.606722 1.032879 31.601686
1.286129 -0.606996 1.033184 31.651456
1.288129 -0.607263 1.033486 31.701231
1.290129 -0.607525 1.033786 31.751011
1.292129 -0.607782 1.034083 31.800796
1.294129 -0.608033 1.034377 31.850585
1.296130 -0.608278 1.034668 31.900379
1.298130 -0.608518 1.034957 31.950178
1.300130 -0.608753 1.035242 31.999981
1.302130 -0.608982 1.035525 32.049789
1.304130 -0.609206 1.035805 32.099601
1.306131 -0.609425 1.036082 32.149418
1.308131 -0.609638 1.036356 32.199239
1.310131 -0.609847 1.036627 32.249065
1.312131 -0.610050 1.036896 32.298895
1.314131 -0.610248 1.037161 32.348729
1.316132 -0.610441 1.037423 32.398568
1.318132 -0.610629 1.037682 32.448411
1.320132 -0.610813 1.037938 32.498258
1.322132 -0.610991 1.038192 32.548109
1.324132 -0.611165 1.038441 32.597965
1.326133 -0.611334 1.038688 32.647824
