t psi theta phi
2.096048 -8.568154 1.040671 34.529360
2.101051 -8.588602 1.040532 34.611769
2.106053 -8.609046 1.040393 34.694183
2.111056 -8.629486 1.040254 34.776602
2.116058 -8.649922 1.040114 34.859026
2.121061 -8.670354 1.039974 34.941456
2.126063 -8.690781 1.039834 35.023890
2.131066 -8.711204 1.039694 35.106330
2.136068 -8.731623 1.039554 35.188774
2.141071 -8.752037 1.039414 35.271224
2.146073 -8.772448 1.039274 35.353679
2.151076 -8.792854 1.039134 35.436138
2.156078 -8.813256 1.038994 35.518603
2.161081 -8.833654 1.038855 35.601073
2.166083 -8.854048 1.038715 35.683548
2.171086 -8.874438 1.038576 35.766028
2.176088 -8.894823 1.038438 35.848513
2.181091 -8.915205 1.038300 35.931003
2.186093 -8.935582 1.038162 36.013497
2.191096 -8.955955 1.038025 36.095997
2.196098 -8.976324 1.037888 36.178502
2.201101 -8.996689 1.037752 36.261012
2.206103 -9.017050 1.037616 36.343526
2.211106 -9.037407 1.037481 36.426045
2.216108 -9.057760 1.037347 36.508570
2.221111 -9.078109 1.037214 36.591099
2.226113 -9.098455 1.037081 36.673632
2.231116 -9.118796 1.036950 36.756171
2.236118 -9.139133 1.036819 36.838714
2.241121 -9.159467 1.036689 36.921262
2.246123 -9.179797 1.036560 37.003814
2.251126 -9.200123 1.036432 37.086371
2.256128 -9.220445 1.036306 37.168932
2.261131 -9.240763 1.036180 37.251498
2.266133 -9.261078 1.036056 37.334069
2.271136 -9.281389 1.035932 37.416644
2.276138 -9.301697 1.035810 37.499223
2.281141 -9.322001 1.035689 37.581807
2.286143 -9.342302 1.035570 37.664394
2.291146 -9.362599 1.035452 37.746986
2.296148 -9.382892 1.035335 37.829583
2.301151 -9.403183 1.035220 37.912183
2.306153 -9.423470 1.035106 37.994787
2.311156 -9.443753 1.034994 38.077396
2.316158 -9.464034 1.034883 38.160008
2.321161 -9.484311 1.034774 38.242624
2.326163 -9.504585 1.034666 38.325244
2.331166 -9.524856 1.034560 38.407868
2.336168 -9.545124 1.034456 38.490495
2.341171 -9.565389 1.034354 38.573127
2.346173 -9.585650 1.034253 38.655761
2.351176 -9.605910 1.034154 38.738400
2.356178 -9.626166 1.034057 38.821041
2.361181 -9.646419 1.033962 38.903686
2.366183 -9.666670 1.033869 38.986335
2.371186 -9.686918 1.033777 39.068987
2.376188 -9.707163 1.033688 39.151641
2.381191 -9.727406 1.033600 39.234299
2.386193 -9.747646 1.033515 39.316960
2.391196 -9.767884 1.033431 39.399624
2.396198 -9.788120 1.033350 39.482291
2.401201 -9.808353 1.033271 39.564961
2.406203 -9.828584 1.033193 39.647633
2.411206 -9.848813 1.033118 39.730309
2.416208 -9.869040 1.033046 39.812986
2.421211 -9.889264 1.032975 39.895666
2.426213 -9.909487 1.032906 39.978349
2.431216 -9.929707 1.032840 40.061034
2.436218 -9.949926 1.032776 40.143721
2.441221 -9.970143 1.032715 40.226411
2.446223 -9.990358 1.032655 40.309103
2.451226 -10.010572 1.032598 40.391796
2.456228 -10.030784 1.032543 40.474492
2.461231 -10.050994 1.032491 40.557189
2.466233 -10.071203 1.032441 40.639889
2.471236 -10.091411 1.032393 40.722590
2.476238 -10.111617 1.032348 40.805292
2.481241 -10.131822 1.032305 40.887996
2.486243 -10.152026 1.032265 40.970702
2.491246 -10.172229 1.032227 41.053409
2.496248 -10.192430 1.032192 41.136117
2.501251 -10.212631 1.032159 41.218827
2.506253 -10.232831 1.032128 41.301537
2.511256 -10.253030 1.032100 41.384249
2.516258 -10.273228 1.032074 41.466961
2.521261 -10.293425 1.032051 41.549675
2.526263 -10.313622 1.032031 41.632389
2.531266 -10.333818 1.032013 41.715104
2.536268 -10.354014 1.031997 41.797819
2.541271 -10.374209 1.031985 41.880535
2.546273 -10.394404 1.031974 41.963251
2.551276 -10.414599 1.031966 42.045968
2.556278 -10.434794 1.031961 42.128684
2.561281 -10.454988 1.031958 42.211401
2.566283 -10.475183 1.031958 42.294118
2.571286 -10.495377 1.031960 42.376835
2.576288 -10.515572 1.031965 42.459552
2.581291 -10.535766 1.031973 42.542269
2.586293 -10.555961 1.031983 42.624985
2.591296 -10.576157 1.031995 42.707701
2.596298 -10.596353 1.032010 42.790417
2.601301 -10.616549 1.032028 42.873131
2.606303 -10.636745 1.032048 42.955846
2.611306 -10.656943 1.032071 43.038559
2.616308 -10.677141 1.032096 43.121272
2.621311 -10.697340 1.032123 43.203984
2.626313 -10.717539 1.032153 43.286694
2.631316 -10.737740 1.032186 43.369404
2.636318 -10.757941 1.032221 43.452112
2.641321 -10.778144 1.032259 43.534820
2.646323 -10.798347 1.032299 43.617525
2.651326 -10.818552 1.032341 43.700230
