t psi theta phi
2.596298 -1.654782 1.046911 38.453688
2.601301 -1.649798 1.046670 38.533040
2.606303 -1.644828 1.046357 38.612379
2.611306 -1.639874 1.045971 38.691704
2.616308 -1.634940 1.045512 38.771010
2.621311 -1.630029 1.044982 38.850295
2.626313 -1.625144 1.044379 38.929556
2.631316 -1.620290 1.043705 39.008789
2.636318 -1.615468 1.042959 39.087992
2.641321 -1.610682 1.042142 39.167162
2.646323 -1.605936 1.041255 39.246296
2.651326 -1.601232 1.040297 39.325392
2.656328 -1.596574 1.039269 39.404446
2.661331 -1.591963 1.038172 39.483456
2.666333 -1.587404 1.037006 39.562419
2.671336 -1.582898 1.035771 39.641334
2.676338 -1.578449 1.034468 39.720196
2.681341 -1.574059 1.033097 39.799005
2.686343 -1.569731 1.031660 39.877758
2.691346 -1.565467 1.030155 39.956453
2.696348 -1.561269 1.028586 40.035087
2.701351 -1.557140 1.026950 40.113659
2.706353 -1.553082 1.025251 40.192167
2.711356 -1.549098 1.023487 40.270609
2.716358 -1.545188 1.021660 40.348983
2.721361 -1.541355 1.019770 40.427287
2.726363 -1.537601 1.017819 40.505521
2.731366 -1.533927 1.015806 40.583683
2.736368 -1.530335 1.013732 40.661770
2.741371 -1.526828 1.011599 40.739783
2.746373 -1.523405 1.009407 40.817720
2.751376 -1.520069 1.007157 40.895579
2.756378 -1.516820 1.004849 40.973360
2.761381 -1.513661 1.002484 41.051063
2.766383 -1.510591 1.000063 41.128685
2.771386 -1.507613 0.997587 41.206227
2.776388 -1.504726 0.995057 41.283687
2.781391 -1.501933 0.992473 41.361066
2.786393 -1.499233 0.989836 41.438362
2.791396 -1.496627 0.987147 41.515575
2.796398 -1.494117 0.984407 41.592706
2.801401 -1.491702 0.981617 41.669753
2.806403 -1.489383 0.978777 41.746717
2.811406 -1.487160 0.975888 41.823597
2.816408 -1.485034 0.972951 41.900394
2.821411 -1.483005 0.969967 41.977107
2.826413 -1.481073 0.966936 42.053736
2.831416 -1.479239 0.963860 42.130282
2.836418 -1.477502 0.960740 42.206745
2.841421 -1.475862 0.957575 42.283124
2.846423 -1.474320 0.954367 42.359422
2.851426 -1.472876 0.951116 42.435636
2.856428 -1.471528 0.947824 42.511770
2.861431 -1.470278 0.944492 42.587821
2.866433 -1.469125 0.941119 42.663792
2.871436 -1.468069 0.937707 42.739682
2.876438 -1.467109 0.934256 42.815493
2.881441 -1.466245 0.930768 42.891224
2.886443 -1.465478 0.927243 42.966877
2.891446 -1.464805 0.923681 43.042451
2.896448 -1.464228 0.920084 43.117949
2.901451 -1.463745 0.916453 43.193371
2.906453 -1.463356 0.912787 43.268716
2.911456 -1.463061 0.909088 43.343987
2.916458 -1.462859 0.905357 43.419184
2.921461 -1.462749 0.901594 43.494308
2.926463 -1.462732 0.897800 43.569359
2.931466 -1.462806 0.893976 43.644339
2.936468 -1.462971 0.890122 43.719248
2.941471 -1.463226 0.886239 43.794088
2.946473 -1.463571 0.882327 43.868859
2.951476 -1.464004 0.878388 43.943562
2.956478 -1.464526 0.874423 44.018199
2.961481 -1.465136 0.870431 44.092770
2.966483 -1.465833 0.866414 44.167275
2.971486 -1.466616 0.862371 44.241717
2.976488 -1.467485 0.858305 44.316096
2.981491 -1.468439 0.854215 44.390413
2.986493 -1.469477 0.850102 44.464670
2.991496 -1.470599 0.845966 44.538866
2.996498 -1.471804 0.841810 44.613003
3.001501 -1.473091 0.837632 44.687083
3.006503 -1.474460 0.833433 44.761105
3.011506 -1.475910 0.829215 44.835072
3.016508 -1.477439 0.824978 44.908984
3.021511 -1.479049 0.820722 44.982842
3.026513 -1.480737 0.816448 45.056647
3.031516 -1.482503 0.812157 45.130400
3.036518 -1.484346 0.807849 45.204103
3.041521 -1.486267 0.803525 45.277755
3.046523 -1.488263 0.799185 45.351359
3.051526 -1.490335 0.794831 45.424915
3.056528 -1.492481 0.790461 45.498424
3.061531 -1.494702 0.786078 45.571887
3.066533 -1.496996 0.781682 45.645305
3.071536 -1.499362 0.777273 45.718679
3.076538 -1.501801 0.772852 45.792010
3.081541 -1.504311 0.768419 45.865299
